Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BD1,1N4148W,D_SOD-123,40.221104,-5.673498,-90.0,top
PWR1,SW_SPDT,SPDT_C128955,44.721099,-12.174472,0.0,top
SW1,SW_Push_45deg,SW_SPST_TL3342,-0.626512,1.388989,82.0,top
SW2,SW_Push_45deg,SW_SPST_TL3342,0.556464,9.806278,82.0,top
SW3,SW_Push_45deg,SW_SPST_TL3342,1.739437,18.223542,82.0,top
SW4,SW_Push_45deg,SW_SPST_TL3342,7.09627,6.496643,78.0,top
SW5,SW_Push_45deg,SW_SPST_TL3342,8.863517,14.810911,78.0,top
SW6,SW_Push_45deg,SW_SPST_TL3342,10.630767,23.125151,78.0,top
SW7,SW_Push_45deg,SW_SPST_TL3342,14.622675,9.058977,75.0,top
SW8,SW_Push_45deg,SW_SPST_TL3342,16.822617,17.269362,75.0,top
SW9,SW_Push_45deg,SW_SPST_TL3342,19.022598,25.479717,75.0,top
SW10,SW_Push_45deg,SW_SPST_TL3342,20.351197,5.324066,75.0,top
SW11,SW_Push_45deg,SW_SPST_TL3342,22.551151,13.534439,75.0,top
SW12,SW_Push_45deg,SW_SPST_TL3342,24.751139,21.744809,75.0,top
SW13,SW_Push_45deg,SW_SPST_TL3342,26.112085,1.709906,75.0,top
SW14,SW_Push_45deg,SW_SPST_TL3342,28.312031,9.920276,75.0,top
SW15,SW_Push_45deg,SW_SPST_TL3342,30.51201,18.130636,75.0,top
SW16,SW_Push_45deg,SW_SPST_TL3342,14.590954,-4.002878,75.0,top
SW17,SW_Push_45deg,SW_SPST_TL3342,21.37185,-6.470926,65.0,top
SW18,SW_Push_45deg,SW_SPST_TL3342,27.621154,-10.078965,55.0,top
SW19,SW_Push_45deg,SW_SPST_TL3342,90.068714,1.388983,-82.0,top
SW20,SW_Push_45deg,SW_SPST_TL3342,88.885756,9.806265,-82.0,top
SW21,SW_Push_45deg,SW_SPST_TL3342,87.702786,18.223543,-82.0,top
SW22,SW_Push_45deg,SW_SPST_TL3342,82.345925,6.496642,-78.0,top
SW23,SW_Push_45deg,SW_SPST_TL3342,80.578668,14.810902,-78.0,top
SW24,SW_Push_45deg,SW_SPST_TL3342,78.811422,23.125173,-78.0,top
SW25,SW_Push_45deg,SW_SPST_TL3342,74.819533,9.058998,-75.0,top
SW26,SW_Push_45deg,SW_SPST_TL3342,72.619576,17.269368,-75.0,top
SW27,SW_Push_45deg,SW_SPST_TL3342,70.419607,25.479733,-75.0,top
SW28,SW_Push_45deg,SW_SPST_TL3342,69.090997,5.324068,-75.0,top
SW29,SW_Push_45deg,SW_SPST_TL3342,66.891034,13.534439,-75.0,top
SW30,SW_Push_45deg,SW_SPST_TL3342,64.691089,21.744816,-75.0,top
SW31,SW_Push_45deg,SW_SPST_TL3342,63.330126,1.709899,-75.0,top
SW32,SW_Push_45deg,SW_SPST_TL3342,61.130164,9.920274,-75.0,top
SW33,SW_Push_45deg,SW_SPST_TL3342,58.930212,18.130646,-75.0,top
SW34,SW_Push_45deg,SW_SPST_TL3342,74.851262,-4.002853,-75.0,top
SW35,SW_Push_45deg,SW_SPST_TL3342,68.070358,-6.470926,-65.0,top
SW36,SW_Push_45deg,SW_SPST_TL3342,61.821054,-10.078973,-55.0,top
