Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW1,SW_Push_45deg,POCKET-SWITCH,0.495047,-0.162317,82.0,top
SW2,SW_Push_45deg,POCKET-SWITCH,1.677995,8.254975,82.0,top
SW3,SW_Push_45deg,POCKET-SWITCH,2.860993,16.672229,82.0,top
SW4,SW_Push_45deg,POCKET-SWITCH,8.217826,4.945358,78.0,top
SW5,SW_Push_45deg,POCKET-SWITCH,9.985047,13.259599,78.0,top
SW6,SW_Push_45deg,POCKET-SWITCH,11.752317,21.573868,78.0,top
SW7,SW_Push_45deg,POCKET-SWITCH,15.744221,7.507684,75.0,top
SW8,SW_Push_45deg,POCKET-SWITCH,17.944174,15.718023,75.0,top
SW9,SW_Push_45deg,POCKET-SWITCH,20.144133,23.928457,75.0,top
SW10,SW_Push_45deg,POCKET-SWITCH,21.472751,3.772771,75.0,top
SW11,SW_Push_45deg,POCKET-SWITCH,23.672723,11.983138,75.0,top
SW12,SW_Push_45deg,POCKET-SWITCH,25.872664,20.193523,75.0,top
SW13,SW_Push_45deg,POCKET-SWITCH,27.233619,0.158596,75.0,top
SW14,SW_Push_45deg,POCKET-SWITCH,29.433592,8.368947,75.0,top
SW15,SW_Push_45deg,POCKET-SWITCH,31.633535,16.57933,75.0,top
SW16,SW_Push_45deg,POCKET-SWITCH,15.712485,-5.554178,75.0,top
SW17,SW_Push_45deg,POCKET-SWITCH,22.493379,-8.022233,65.0,top
SW18,SW_Push_45deg,POCKET-SWITCH,28.742686,-11.63026,55.0,top
SW19,SW_Push_45deg,POCKET-SWITCH,89.190272,-0.162318,-82.0,top
SW20,SW_Push_45deg,POCKET-SWITCH,88.007277,8.254953,-82.0,top
SW21,SW_Push_45deg,POCKET-SWITCH,86.824292,16.672257,-82.0,top
SW22,SW_Push_45deg,POCKET-SWITCH,81.467488,4.945336,-78.0,top
SW23,SW_Push_45deg,POCKET-SWITCH,79.700229,13.259591,-78.0,top
SW24,SW_Push_45deg,POCKET-SWITCH,77.932979,21.57384,-78.0,top
SW25,SW_Push_45deg,POCKET-SWITCH,73.941075,7.50769,-75.0,top
SW26,SW_Push_45deg,POCKET-SWITCH,71.741098,15.718058,-75.0,top
SW27,SW_Push_45deg,POCKET-SWITCH,69.541156,23.928443,-75.0,top
SW28,SW_Push_45deg,POCKET-SWITCH,68.212555,3.77277,-75.0,top
SW29,SW_Push_45deg,POCKET-SWITCH,66.012599,11.983134,-75.0,top
SW30,SW_Push_45deg,POCKET-SWITCH,63.812629,20.193486,-75.0,top
SW31,SW_Push_45deg,POCKET-SWITCH,62.451664,0.158587,-75.0,top
SW32,SW_Push_45deg,POCKET-SWITCH,60.251684,8.368948,-75.0,top
SW33,SW_Push_45deg,POCKET-SWITCH,58.05175,16.57934,-75.0,top
SW34,SW_Push_45deg,POCKET-SWITCH,73.972791,-5.554183,-75.0,top
SW35,SW_Push_45deg,POCKET-SWITCH,67.191915,-8.022214,-65.0,top
SW36,SW_Push_45deg,POCKET-SWITCH,60.9426,-11.630253,-55.0,top
