Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,34.542458,70.479971,188.0,bottom
D10,1N4148W,D_SOD-123,68.218372,73.266978,195.0,bottom
D11,1N4148W,D_SOD-123,70.85833,83.119414,195.0,bottom
D12,1N4148W,D_SOD-123,73.498281,92.971863,195.0,bottom
D13,1N4148W,D_SOD-123,78.132737,68.539877,195.0,bottom
D14,1N4148W,D_SOD-123,80.772699,78.392323,195.0,bottom
D15,1N4148W,D_SOD-123,83.412642,88.244765,195.0,bottom
D16,1N4148W,D_SOD-123,158.772289,70.479973,172.0,bottom
D17,1N4148W,D_SOD-123,157.352715,80.58072,172.0,bottom
D18,1N4148W,D_SOD-123,155.933158,90.681445,172.0,bottom
D19,1N4148W,D_SOD-123,146.750888,76.119452,168.0,bottom
D2,1N4148W,D_SOD-123,35.962024,80.580712,188.0,bottom
D20,1N4148W,D_SOD-123,144.630191,86.09656,168.0,bottom
D21,1N4148W,D_SOD-123,142.509481,96.073655,168.0,bottom
D22,1N4148W,D_SOD-123,134.950875,78.525348,165.0,bottom
D23,1N4148W,D_SOD-123,132.31093,88.377774,165.0,bottom
D24,1N4148W,D_SOD-123,129.670963,98.230213,165.0,bottom
D25,1N4148W,D_SOD-123,125.178872,73.26697,165.0,bottom
D26,1N4148W,D_SOD-123,122.538904,83.119422,165.0,bottom
D27,1N4148W,D_SOD-123,119.898961,92.971868,165.0,bottom
D28,1N4148W,D_SOD-123,115.264499,68.539885,165.0,bottom
D29,1N4148W,D_SOD-123,112.624553,78.392319,165.0,bottom
D3,1N4148W,D_SOD-123,37.381584,90.68145,188.0,bottom
D30,1N4148W,D_SOD-123,109.984606,88.244773,165.0,bottom
D31,1N4148W,D_SOD-123,64.543144,59.550825,195.0,bottom
D32,1N4148W,D_SOD-123,75.550835,55.567028,205.0,bottom
D33,1N4148W,D_SOD-123,85.70267,49.773514,215.0,bottom
D34,1N4148W,D_SOD-123,128.854104,59.550829,165.0,bottom
D35,1N4148W,D_SOD-123,117.97091,55.56702,155.0,bottom
D36,1N4148W,D_SOD-123,107.948001,49.712624,145.0,bottom
D4,1N4148W,D_SOD-123,46.61043,76.119447,192.0,bottom
D5,1N4148W,D_SOD-123,48.731124,86.096567,192.0,bottom
D6,1N4148W,D_SOD-123,50.851817,96.07366,192.0,bottom
D7,1N4148W,D_SOD-123,58.446366,78.525329,195.0,bottom
D8,1N4148W,D_SOD-123,61.086325,88.377775,195.0,bottom
D9,1N4148W,D_SOD-123,63.726272,98.230216,195.0,bottom
LOGO1,,LOGO,96.983485,82.03988,0.0,top
SW1,"[2,0]",Silent Square Micro Switch,34.862999,70.44036,82.0,top
SW10,"[2,3]",Silent Square Micro Switch,68.492877,73.228341,75.0,top
SW11,"[1,3]",Silent Square Micro Switch,71.132835,83.080777,75.0,top
SW12,"[0,3]",Silent Square Micro Switch,73.772786,92.933226,75.0,top
SW13,"[2,4]",Silent Square Micro Switch,78.407242,68.50124,75.0,top
SW14,"[1,4]",Silent Square Micro Switch,81.047204,78.353686,75.0,top
SW15,"[0,4]",Silent Square Micro Switch,83.687147,88.206128,75.0,top
SW16,"[6,0]",Silent Square Micro Switch,159.09283,70.519584,-82.0,top
SW17,"[5,0]",Silent Square Micro Switch,157.673256,80.620331,-82.0,top
SW18,"[4,0]",Silent Square Micro Switch,156.253699,90.721056,-82.0,top
SW19,"[6,1]",Silent Square Micro Switch,147.04539,76.158578,-78.0,top
SW2,"[1,0]",Silent Square Micro Switch,36.282565,80.541101,82.0,top
SW20,"[5,1]",Silent Square Micro Switch,144.924693,86.135686,-78.0,top
SW21,"[4,1]",Silent Square Micro Switch,142.803983,96.112781,-78.0,top
SW22,"[6,2]",Silent Square Micro Switch,135.22538,78.563985,-75.0,top
SW23,"[5,2]",Silent Square Micro Switch,132.585435,88.416411,-75.0,top
SW24,"[4,2]",Silent Square Micro Switch,129.945468,98.26885,-75.0,top
SW25,"[6,3]",Silent Square Micro Switch,125.453377,73.305607,-75.0,top
SW26,"[5,3]",Silent Square Micro Switch,122.813409,83.158059,-75.0,top
SW27,"[4,3]",Silent Square Micro Switch,120.173466,93.010505,-75.0,top
SW28,"[6,4]",Silent Square Micro Switch,115.539004,68.578522,-75.0,top
SW29,"[5,4]",Silent Square Micro Switch,112.899058,78.430956,-75.0,top
SW3,"[0,0]",Silent Square Micro Switch,37.702125,90.641839,82.0,top
SW30,"[4,4]",Silent Square Micro Switch,110.259111,88.28341,-75.0,top
SW31,"[3,2]",Silent Square Micro Switch,64.817649,59.512188,75.0,top
SW32,"[3,3]",Silent Square Micro Switch,75.756533,55.530776,65.0,top
SW33,"[3,4]",Silent Square Micro Switch,85.837868,49.710307,55.0,top
SW34,"[7,2]",Silent Square Micro Switch,129.128609,59.589466,-75.0,top
SW35,"[7,3]",Silent Square Micro Switch,118.176608,55.603273,-65.0,top
SW36,"[7,4]",Silent Square Micro Switch,108.083199,49.775831,-55.0,top
SW4,"[2,1]",Silent Square Micro Switch,46.904932,76.080321,78.0,top
SW5,"[1,2]",Silent Square Micro Switch,49.025626,86.057441,78.0,top
SW6,"[0,1]",Silent Square Micro Switch,51.146319,96.034534,78.0,top
SW7,"[2,2]",Silent Square Micro Switch,58.720871,78.486692,75.0,top
SW8,"[1,2]",Silent Square Micro Switch,61.36083,88.339138,75.0,top
SW9,"[0,2]",Silent Square Micro Switch,64.000777,98.191579,75.0,top
