Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,DFU,SW_SPST_TL3342,237.142005,-187.571834,180.0,bottom
C1,1uF,C_0402_1005Metric,234.109012,-129.797804,0.0,bottom
C2,1uF,C_0402_1005Metric,231.859046,-134.797823,180.0,bottom
C3,100nF,C_0402_1005Metric,230.412013,-136.877797,270.0,bottom
C4,100nF,C_0402_1005Metric,239.062011,-134.067832,0.0,bottom
C5,100nF,C_0402_1005Metric,241.872033,-142.717838,90.0,bottom
C6,100nF,C_0402_1005Metric,234.742052,-145.527823,180.0,bottom
C7,100nF,C_0402_1005Metric,240.892063,-144.477816,270.0,bottom
C8,10uF,C_0603_1608Metric,242.142016,-145.167808,270.0,bottom
C9,100nF,C_0402_1005Metric,235.192042,-146.997807,90.0,bottom
C10,4.7n,C_0402_1005Metric,240.392011,-125.077832,180.0,bottom
D1,1N4148W,D_SOD-123,138.237283,-165.453098,278.0,bottom
D2,1N4148W,D_SOD-123,140.603236,-148.618526,278.0,bottom
D3,1N4148W,D_SOD-123,142.96918,-131.783957,278.0,bottom
D4,1N4148W,D_SOD-123,157.946277,-156.387933,282.0,bottom
D5,1N4148W,D_SOD-123,161.480755,-139.759471,282.0,bottom
D6,1N4148W,D_SOD-123,165.01526,-123.13098,282.0,bottom
D7,1N4148W,D_SOD-123,177.353948,-152.611502,285.0,bottom
D8,1N4148W,D_SOD-123,181.753901,-136.190781,285.0,bottom
D9,1N4148W,D_SOD-123,186.153804,-119.770011,285.0,bottom
D10,1N4148W,D_SOD-123,193.640646,-161.375475,285.0,bottom
D11,1N4148W,D_SOD-123,198.040562,-144.954727,285.0,bottom
D12,1N4148W,D_SOD-123,202.440493,-128.533957,285.0,bottom
D13,1N4148W,D_SOD-123,210.509659,-167.96601,285.0,bottom
D14,1N4148W,D_SOD-123,214.909575,-151.545306,285.0,bottom
D15,1N4148W,D_SOD-123,219.309515,-135.124545,285.0,bottom
D16,1N4148W,D_SOD-123,347.181314,-163.888238,262.0,bottom
D17,1N4148W,D_SOD-123,344.815383,-147.053657,262.0,bottom
D18,1N4148W,D_SOD-123,342.449425,-130.219147,262.0,bottom
D19,1N4148W,D_SOD-123,327.336101,-154.050206,258.0,bottom
D20,1N4148W,D_SOD-123,323.80156,-137.421717,258.0,bottom
D21,1N4148W,D_SOD-123,320.267071,-120.79325,258.0,bottom
D22,1N4148W,D_SOD-123,307.790956,-149.701333,255.0,bottom
D23,1N4148W,D_SOD-123,303.391032,-133.280633,255.0,bottom
D24,1N4148W,D_SOD-123,298.991122,-116.859869,255.0,bottom
D25,1N4148W,D_SOD-123,291.504285,-158.465307,255.0,bottom
D26,1N4148W,D_SOD-123,287.104337,-142.044575,255.0,bottom
D27,1N4148W,D_SOD-123,282.704436,-125.623796,255.0,bottom
D28,1N4148W,D_SOD-123,274.635259,-165.055877,255.0,bottom
D29,1N4148W,D_SOD-123,270.235337,-148.635147,255.0,bottom
D30,1N4148W,D_SOD-123,265.835402,-132.214406,255.0,bottom
D31,1N4148W,D_SOD-123,188.205432,-181.659902,285.0,bottom
D32,1N4148W,D_SOD-123,205.404036,-188.962563,295.0,bottom
D33,1N4148W,D_SOD-123,221.073298,-199.140786,305.0,bottom
D34,1N4148W,D_SOD-123,296.939486,-178.749745,255.0,bottom
D35,1N4148W,D_SOD-123,279.070511,-184.21061,245.0,bottom
D36,1N4148W,D_SOD-123,262.42127,-192.691504,235.0,bottom
F1,500mA,Fuse_1206_3216Metric,233.60903,-126.947809,270.0,bottom
H1,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,148.658922,-124.943884,192.0,bottom
H2,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,325.625135,-124.943915,168.0,bottom
H3,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,150.019947,-166.637994,192.0,bottom
H4,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,324.264095,-166.638055,168.0,bottom
H5,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,224.029526,-118.969716,195.0,bottom
H6,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,250.254525,-118.969727,165.0,bottom
H7,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,218.109566,-175.207336,65.0,bottom
H8,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,256.174497,-175.207339,295.0,bottom
J1,USB_C,Molex-216990_GCT-USB45xx_HRO-TYPE-C-31-M-13x,237.14204,-114.797821,180.0,bottom
J2,CIRQUE,FPC-SMD_FPC05012-09200-.5mm-rev,237.139536,-155.217157,0.0,bottom
R1,5.1k,R_0402_1005Metric,235.542013,-125.597788,270.0,bottom
R2,5.1k,R_0402_1005Metric,238.742004,-125.597811,270.0,bottom
R3,27R,R_0603_1608Metric,238.142012,-131.597814,270.0,bottom
R4,27R,R_0603_1608Metric,236.14203,-131.597778,270.0,bottom
R5,10k,R_0402_1005Metric,241.872003,-140.79785,270.0,bottom
R6,1M,R_0402_1005Metric,240.39204,-126.077796,0.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,236.142026,-139.79781,0.0,bottom
U2,SRV05-4,SOT-23-6-routable,237.142017,-128.297805,180.0,bottom
U3,XC6206,SOT-23,233.609036,-132.297772,270.0,bottom
